filename,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us)
redis_output/workloada/6/histogram_2.txt,1046.7171314741036,115,19111,1169.8915662650602,94,19187
redis_output/workloada/10/timeseries_2.txt,1262.0268199233717,87,8284,1272.734309623431,68,10741
redis_output/workloada/10/timeseries_1.txt,1422.2135922330096,68,8550,1608.360824742268,75,8380
redis_output/workloada/10/histogram_1.txt,1669.4381551362683,89,10565,1777.0726577437858,105,11218
redis_output/workloada/10/histogram_2.txt,1423.7221095334685,54,11087,1590.0729783037475,70,11469
redis_output/workloada/3/timeseries_2.txt,937.9783464566929,84,9385,982.760162601626,91,9656
redis_output/workloada/3/timeseries_1.txt,1108.359595959596,89,8933,1150.7643564356435,85,9209
redis_output/workloada/3/histogram_1.txt,1559.094922737307,77,18754,1741.6928702010969,79,18962
redis_output/workloada/3/histogram_2.txt,660.2037037037037,64,9302,752.6108949416342,58,15118
redis_output/workloadf/16/timeseries_2.txt,1517.003,99,23275,1356.9778672032194,85,24117
redis_output/workloadf/16/timeseries_1.txt,1363.793,77,9915,1389.305954825462,88,9555
redis_output/workloadf/16/histogram_1.txt,3220.088,62,40621,2261.793587174349,64,41425
redis_output/workloadf/16/histogram_2.txt,661.468,54,5571,695.3101391650099,71,6962
redis_output/workloadf/6/timeseries_2.txt,986.674,78,9142,802.0235042735043,92,8883
redis_output/workloadf/6/timeseries_1.txt,930.54,55,8994,764.815631262525,76,8842
redis_output/workloadf/6/histogram_1.txt,1350.208,60,18449,1205.488,59,18204
redis_output/workloadf/6/histogram_2.txt,1237.671,79,12067,1102.6367041198503,84,11070
redis_output/workloadf/10/timeseries_2.txt,1127.062,53,15769,793.9002036659878,62,12289
redis_output/workloadf/10/timeseries_1.txt,1218.291,75,10170,1041.5743801652893,71,15325
redis_output/workloadf/10/histogram_1.txt,1255.894,92,8949,1069.292372881356,90,8703
redis_output/workloadf/10/histogram_2.txt,1293.248,72,14566,1078.0301204819277,89,10726
redis_output/workloadf/3/timeseries_2.txt,560.646,55,10179,520.3157894736842,59,11348
redis_output/workloadf/3/timeseries_1.txt,589.01,42,17412,455.9488752556237,47,14269
redis_output/workloadf/3/histogram_1.txt,767.073,33,5478,650.4533820840951,73,6097
redis_output/workloadf/3/histogram_2.txt,765.469,53,8624,699.251953125,74,7169
